description,country,variety
"Vanilla and raspberry notes flavor this rosé, with its acidity lending a bright, fresh character. A blend of Castelão and Aragonez, it has the spicy Castelão character with the Aragonez lending this wine some weight.",Portugal,Rosé
"As fresh as possible, a wine with some soft sweetness but more of the crisp acidity of Vinho Verde. Bright, lemon scented and clearly ready for the summer.",Portugal,Portuguese White
"Ervamoira, one of the most remote of the Douro estates, produces this full, fruity 10-year-old tawny. It's already drinkable, and it offers almond, raisin and treacle flavors that are lifted by the acids. Drink now.",Portugal,Port
"This is an elegant wine, with balanced fruit and tannins that make for a soft texture. It is rich and laced with fresh, raspberry-like acidity. It can age for another year, but it is also ready to drink.",Portugal,Portuguese Red
"Always an elegant wine, the Aragonez shows its beautiful smooth fruit, flavors of blueberries with leathery tannins and fine acidity. With its structure it could age, but there's no need to wait.",Portugal,Portuguese Red
"Very structured, with strong new wood flavors and black currant fruit. The wine feels relatively light, almost fresh, while also having considerable tannins and dryness.",Portugal,Touriga Nacional
"As an addition to the Cape Roca range, this is impressive. It has weight and richness, accompanied with firm tannins, a solid core of dryness and blackberry fruits.",Portugal,Portuguese Red
"Dense tannins are well balanced with blackberry and sweet black cherry fruits. This firm, open and generous wine does show a dry core, while concentrating more on its final juicy character. Drink now and over the next few years.",Portugal,Portuguese Red
"An enormously enjoyable big, ripe bruiser of a wine. It is full of ripe fruit, just underlined with some firm tannins. It's ready to drink now, its black currant flavor brimming out of the glass.",Portugal,Portuguese Red
"A great value wine, its firm tannins surrounded by the freshest berry fruits and acidity. For drinking young, with its attractive ripe, open flavors.",Portugal,Portuguese Red
"One of a pair of wines under the Grilos name, this Dão is solid and tannic, still young, with a firm core of dryness surrounded by a more fruity black cherry component. It needs aging for a year.",Portugal,Portuguese Red
"Like so many of the finer wines from this region north of Lisbon, this wine brings out elegance as well as the richness of juicy red fruit, layered with bitter chocolate, dense tannins and a great final lift of acidity.",Portugal,Portuguese Red
"This Bordeaux blend still manages to taste very Portuguese, with sweet, juicy, spicy character, its layers of tight acidity and smooth wood texture. Tannins are there, although the fruitiness is more evident.",Portugal,Bordeaux-style Red Blend
"With its roundness, this wine shows the character of the Loureiro grape. Giving a tweak to the softer element is a burst of fine acidity, a lime juice note and a fresh aftertaste.",Portugal,Loureiro
"Smooth and rounded with light, perfumed sweetness, this is an easy and approachable wine. Its pear and kiwi flavors come together easily. Screwcap.",Portugal,Portuguese White
"A wine whose real quality lies in its great fruitiness and open, soft tannins. With just a touch of wood, its stalky black-fruit flavors are all ready to drink. Screwcap.",Portugal,Portuguese Red
"This Pinot Blanc is a soft sparkling wine, rustic around the edges and missing the acidity. It is rounded, feels ripe and finishes on a yeasty note.",Portugal,Pinot Blanc
"It is unusual to find the northern Portuguese Alvarinho grape in the southern Alentejo—and it doesn't quite work. With the heat, the intense flavors of the grape are transmuted into flabbiness with only hints of acidity.",Portugal,Alvarinho
"With its delicious petillance, this is an apple-fresh, dry Vinho Verde, with lively acidity as crisp as possible, ready to drink.",Portugal,Portuguese White
"Rich and ripe, with soft tannins and black plum flavors. It is round, while still having a core of attractive tannins. The fruit dominates, giving a friendly, accessible wine.",Portugal,Portuguese Red
"Juicy Castelão fruit propels this wine, giving spice, soft tannins and ripe red cherries. It is full, very accessible, its acidity adding an attractive edge of freshness. Drink now, or age a year.",Portugal,Portuguese Red
"This rich wine shows ripe fruit and a polished, smooth mouthfeel. The blackberry flavor dominates the firm tannins, which gives the palate a juicy quality. It reveals fine depth of flavor, minerality and aging potential.",Portugal,Portuguese Red
"A typical local blend of Arinto, Fernão Pires and Chardonnay, this is smooth, ripe and creamy. It has touches of herb, honey and pineapple, which are laced together by citrusy acidity. The finish is soft.",Portugal,Portuguese White
"Delicious bright fruited wine, full of lemongrass, green herbs and delicious lime juice and apricot flavors. Drink this summer as a great apéritif.",Portugal,Portuguese White
"With layers of wood aging, this is a wine that is ripe and bold. Its yellow fruit and spice character is right up front, while the acidity and lemon flavors have fine supporting roles. It needs another year for the wood element to settle down.",Portugal,Portuguese White
"The name astrolabe is a reference to the instrument's importance to the Portuguese navigators as they rounded the world in the 15th century. The wine is more earthbound, tied firmly to the Dão grapes and a finely structured character.",Portugal,Portuguese Red
"A bold, black-colored wine, its powerful fruit packed with juice and soft, dense tannins. The wine has some aging potential, with its dry final core and acidity.",Portugal,Portuguese Red
"Rich plums and soft tannins, with an attractive ripe and juicy character. This is a wine with good spice, a hint of leather and final acidity.",Portugal,Portuguese Red
"Powerful and concentrated, this is a serious wine that remains juicy and fruity. The wine has a dense, dry core surrounded by rich plum and damson flavors, with a spice note from the new wood. The firm edge means it will age over several years.",Portugal,Touriga Nacional-Cabernet Sauvignon
"A ripe and elegant wine, full of sweet fruits, laced with tannins. It has an attractive tar and plum set of flavors, firmly anchored in its central core of dryness.",Portugal,Portuguese Red
"A full, ripe wine that also preserves the minerality of the Dão. There are black currant and damson skin flavors, with juiciness as well as spice.",Portugal,Portuguese Red
"Classic fresh, extremely tangy wine, all apple, citrus and crispness. It's lively, although also with some fruit richness. Drink now, with shellfish. Screwcap.",Portugal,Portuguese White
"A smoothly textured wine that shows red-berry flavors, with very soft tannins along with a farmyard character. It feels ripe and fruit; a fine barbecue wine.",Portugal,Portuguese Red
"A blend of Syrah and Touriga Nacional, this strawberry-flavored wine has fine acidity and an attractive soft yet tangy texture.",Portugal,Rosé
"A bright, floral wine that offers light citrus and apricot flavors. It is a perfect apéritif wine, fruity and ready to drink.",Portugal,Fernão Pires
"This is intensely juicy, with acidity that cuts through the black-currant flavors, creating a wine that's brimming with fruitiness. There is a slight distracting hint of oxidized tomato, but it's otherwise enjoyable.",Portugal,Portuguese Red
"This is a soft, caramel-flavored rosé that has a wild-strawberry freshness, and a limpid texture.",Portugal,Rosé
"A crisp, off-dry Vinho Verde with a good prickle on the tongue. Flavors of lemon and green apple are well balanced in this ready-to-drink summer wine. Screwcap.",Portugal,Portuguese White
"Along with its strawberry flavors, this wine is soft and dry, with structured, tangy acidity. Screwcap.",Portugal,Rosé
"Equally well known for its Ports, Churchill's makes this red wine from fruit that's sourced from its own vineyards. It has firm tannins and dark plum fruit, which is just waiting to break out beyond the concentrated, dry core. Give it 3–4 years.",Portugal,Portuguese Red
